iata_id,airline,alias,icao,callsign,country,active
3V,TNT Airways,\N,TAY,QUALITY,Belgium,N
3V,3 Valleys Airlines,,VA3,3 Valleys,France,N
3W,Euromanx Airways,\N,EMX,EUROMANX,Austria,N
3W,Malawian Airlines,,\N,,Malawi,Y
3X,Aguilar Connect,,GUI,Moonexpress,Chile,N
4A,Air Kiribati,\N,AKL,,Kiribati,Y
4B,Boutique Air (Priv),,BTQ,,United States,Y
4C,Aires,\N,ARE, Aerovias de Integracion Regional, S.A.,Y
4D,Air Sinai,\N,ASD,AIR SINAI,Egypt,Y
4F,Air City,\N,ECE,AIRCITY,Germany,N
4G,Advance Leasing Company,\N,,,United States,N
4G,Gazpromavia,\N,GZP,GAZPROMAVIA,Russia,Y
4H,United Airways,,UBD,UNITED BANGLADESH,Bangladesh,Y
4K,Askari Aviation,\N,AAS,AL-AAS,Pakistan,Y
4L,Euroline,,MJX,GEO-LINE,Georgia,Y
4M,LAN Argentina,\N,DSM,LAN AR,Argentina,Y
4N,Air North Charter - Canada,\N,ANT,AIR NORTH,Canada,Y
4O,Interjet (ABC Aerolineas),,\N,INTERJET,Mexico,Y
4P,Business Aviation,,\N,AFRICAN BUSINESS,Congo (Kinshasa),Y
4Q,Safi Airlines,,\N,,Afghanistan,Y
4R,Hamburg International,\N,HHI,HAMBURG JET,Germany,Y
4S,Finalair Congo,\N,FNC,FINALAIR CONGO,Republic of the Congo,N
4S,Vuola Italia,Vuola Italia,VI4,,Italy,Y
4T,Belair Airlines,\N,BHP,BELAIR,Switzerland,Y
4U,Germanwings,\N,GWI,GERMAN WINGS,Germany,Y
4X,Red Jet Mexico,,\N,,Mexico,Y
4Y,Airbus France,\N,RBU,AIRBUS FRANCE,France,N
4Z,Airlink (SAA),,\N,,South Africa,Y
5A,Alpine Air Express,\N,AIP,ALPINE AIR,United States,N
5B,Bassaka airlines,,BSX,5B,Cambodia,Y
5C,CAL Cargo Air Lines,\N,ICL,CAL,Israel,Y
5D,Aerolitoral,\N,SLI,COSTERA,Mexico,Y
5D,DonbassAero,\N,UDC,DONBASS AERO,Ukraine,Y
5E,SGA Airlines,,\N,SIAM,Thailand,Y
5F,Arctic Circle Air Service,\N,CIR,AIR ARCTIC,United States,N
5G,Skyservice Airlines,\N,SSV,SKYTOUR,Canada,Y
5H,Fly540,,FFV,SWIFT TANGO,Kenya,Y
5J,Cebu Pacific,\N,CEB,CEBU AIR,Philippines,Y
5K,Hi Fly,\N,HFY,SKY FLYER,Portugal,N
5K,Hi Fly (5K),,\N,,Portugal,Y
5L,Aerosur,\N,RSU,AEROSUR,Bolivia,Y
